nhom,osm_id,ten,lat,lon
cong_vien,way/1303107851,,21.0393818,105.8217993
cong_vien,way/1303107852,,21.0394309,105.8214707
cong_vien,way/1303883233,Khu Di tích Phủ Chủ tịch,21.038885,105.8342753
cong_vien,way/1304386629,Khu khảo cổ học 18 Hoàng Diệu,21.0375274,105.8382325
cong_vien,way/1304796989,,21.030997,105.8405915
cong_vien,way/1305674693,,21.0321613,105.8416996
cong_vien,way/1305895368,Vườn hoa Kính Thiên,21.0350765,105.8379074
cong_vien,way/1307631429,Vườn hoa Nghè Ngô,21.0149182,105.9054356
cong_vien,way/1307642369,,21.019108,105.9069972
cong_vien,way/1307642370,,21.0197786,105.9070421
cong_vien,way/1311727644,,21.0101475,105.9482213
cong_vien,way/1315344013,,21.0316839,105.8290562
cong_vien,way/1315473371,,21.0201517,105.9053958
cong_vien,way/1315473372,,21.0201999,105.9060142
cong_vien,way/1315473373,,21.0202297,105.9069073
cong_vien,way/1317382716,Vườn Hoa 8 Khả Lễ,21.1644713,106.0526599
cong_vien,way/1320956049,,21.000061,105.7387128
cong_vien,way/1325573594,,21.0580118,105.911749
cong_vien,way/1326230608,Vườn hoa Phúc Lợi,21.054476,105.9197634
cong_vien,way/1327204797,Landmark72 Garden,21.0178763,105.7842265
cong_vien,way/1328191505,,21.2022349,105.9839964
cong_vien,way/1328191514,,21.2025169,105.9821165
cong_vien,way/1328191516,,21.2010597,105.9873393
cong_vien,way/1328191542,,21.1997152,105.9920939
cong_vien,way/1328336046,,21.0067204,105.7696356
cong_vien,way/1329107944,,21.1480629,106.0676414
cong_vien,way/1329107945,,21.1486987,106.0707715
cong_vien,way/1329665512,Công viên VSIP,21.0763064,105.9672033
cong_vien,way/1329665972,,21.0760649,105.9071771
cong_vien,way/1330580682,,20.6364726,105.9290223
cong_vien,way/1330805028,,21.1804814,106.0712168
cong_vien,way/1330805052,,21.1849292,106.0659246
cong_vien,way/1330809385,,21.1868776,106.0424157
cong_vien,way/1330856849,,21.1906248,106.0496356
cong_vien,way/1330856852,,21.189772,106.05245
cong_vien,way/1330856853,,21.1892905,106.0530234
cong_vien,way/1330926081,Công Viên Hữu Nghị Quốc Tế,21.1677353,106.0690857
cong_vien,way/1331423727,,21.1604005,106.0530677
cong_vien,way/1331423728,,21.1604133,106.0521921
cong_vien,way/1331423729,Vườn Hoa 10 Khả Lễ,21.1636271,106.0541288
cong_vien,way/1331423732,,21.1678993,106.0546707
cong_vien,way/1331423748,,21.1607955,106.0531555
cong_vien,way/1331431158,,21.2272899,105.9350037
cong_vien,way/1331431228,,21.2265735,105.9366724
cong_vien,way/1331431229,,21.2257636,105.9352928
cong_vien,way/1331911535,,21.2198957,106.0256895
cong_vien,way/1331911547,,21.217655,106.0017203
cong_vien,way/1331911550,,21.2042133,106.0058437
cong_vien,way/1332750213,,21.2126781,106.0513459
cong_vien,way/1333760607,Vườn hoa Mẫn Xá,21.1957345,105.9870455
cong_vien,way/1334384115,,21.1923527,106.078092
cong_vien,way/1334680117,,21.191177,106.0675766
cong_vien,way/1337578715,The Matrix One Private Park,21.0093608,105.7743705
cong_vien,way/1338625622,,21.1714812,106.0742159
cong_vien,way/1338891346,,21.1576139,106.0582026
cong_vien,way/1338971449,,21.1520117,106.0635031
cong_vien,way/1338976362,,21.1682377,106.0652656
cong_vien,way/1339401945,,20.946867,105.9346398
cong_vien,way/1340717459,,20.998442,105.904433
cong_vien,way/1341826764,Công viên Khu phố Hưng Phúc,21.1386927,105.9900411
cong_vien,way/1344686062,Công Viên Cao Đức Vạn An,21.194034,106.0512931
cong_vien,way/1346552356,,21.1898094,106.0486122
cong_vien,way/1348666928,,21.1838701,106.0653138
cong_vien,way/1351157610,Vườn hoa phường Thượng Thanh,21.0667475,105.8963591
cong_vien,way/1351157615,,21.0706636,105.9087173
cong_vien,way/1355347339,,20.5588506,106.0339207
cong_vien,way/1359824052,Quảng trường ASEAN,21.0224872,105.8062935
cong_vien,way/1365437934,Sân chơi khu đô thị Tân Tây Đô,21.0742571,105.7015252
